"staggered field [t]" weights_stripe_h weights_stripe_J
-1.0 0.14306764250712373 ---
-0.5 0.1407480213896258 ---
0.0 0.11935563789527827 0.06815842254415733
0.05 0.11346057143837862 ---
0.125 0.10640506148862666 ---
0.25 0.1029344399775495 ---
0.5 0.10124335616956595 ---
1.0 0.1007348719204073 ---
