lambdas (FH),binding_radii_FH,lambdas (tJ),binding_radii_tJ
0.0,(2.335375462705415-3.9449408551943575e-16j),0.0,(2.17256462448457+0j)
0.2,(2.300875679576363-5.12119045355333e-16j),0.2,(2.1430493799462598+0j)
0.4,(2.1700612195603894+6.130890725598588e-17j),0.4,(2.1099997905331174+0j)
0.6,(2.09752301878794+1.346436480937507e-16j),0.6,(2.072838869818359+0j)
0.8,(2.046292603207892+1.9728695267257937e-16j),0.8,(2.030306856288799+0j)
0.9,(2.0099927038243006-9.443134187406814e-17j),1.0,(1.9844417753061598+0j)
