lambdas spin_spin_correlations_tJ spin_spin_correlations_tightly_bound spin_spin_correlations_stripe spin_spin_correlations_weighted_average
0.0 (0.002179554113897932+0j) (0.0005238587427630787+0j) (0.0042631041261764835+0j) (0.0014904762301848889+0j)
0.2 (0.0016770769320528+0j) (-3.302998580668958e-05+0j) (0.0038975150730032743+0j) (0.0009314919890293657+0j)
0.4 (0.0011005182597303752+0j) (-0.0006827995463045674+0j) (0.003477338021655048+0j) (0.00027744324686644574+0j)
0.6 (0.0004428016046517776+0j) (-0.0013386915566466098+0j) (0.003125857677927232+0j) (-0.0003814180358527931+0j)
0.8 (-0.0003337183557348132+0j) (-0.0021281060999768565+0j) (0.002705762345713671+0j) (-0.001181785887479636+0j)
1.0 (-0.0013153089771896598+0j) (-0.00309823991628807+0j) (0.002304118078908326+0j) (-0.002156922453700335+0j)
