"staggered field [t]" weights_tightly_bound_h weights_tightly_bound_J
-1.0 0.30713469775683466 ---
-0.5 0.30532257297439364 ---
0.0 0.3423575255761022 0.4654219509976078
0.05 0.3617647800313712 ---
0.125 0.3871891287545009 ---
0.25 0.4021794978075602 ---
0.5 0.4120661015716772 ---
1.0 0.4186699395656969 ---
