 (6.049081521627877600e-02-1.503948239151203648e-08j),  (6.283407786271408280e-02-2.338252517318681143e-09j),  (1.277737525564688614e-01-2.412770601245574024e-08j),  (2.496732153341378879e-01+5.926970542417491364e-09j),  (1.278372132071447509e-01+4.744472471455161138e-09j),  (6.284233552499929321e-02+6.955087981294107851e-09j),  (6.049081521627877600e-02-1.503948239151203648e-08j)
 (5.239785204469237651e-02+7.199070324018140064e-09j),  (5.899882799504878317e-02-1.438092216342408242e-09j),  (7.046517353325008892e-02+3.142932224819684458e-09j),  (1.237886865924326812e-01+3.945057198995280909e-08j),  (7.046817722627285452e-02+1.458721434526643068e-08j),  (5.904410468593355998e-02-5.427445160328789256e-09j),  (5.239785204469237651e-02+7.199070324018140064e-09j)
 (4.854545904110867116e-02-1.239337622833023421e-08j),  (4.879446156367160670e-02-1.723956176092985767e-08j),  (5.587488895801220185e-02+2.466911125936822473e-08j),  (5.818272309916448087e-02+2.323899513165186159e-08j),  (5.598871168231731726e-02+3.426491537579057970e-08j),  (4.878937811063336488e-02+9.753225468662299353e-09j),  (4.854545904110867116e-02-1.239337622833023421e-08j)
 (4.005386556503145318e-02+1.635778660157010272e-08j),  (4.152325932772563816e-02-5.455426639275005861e-08j),  (4.293573865517365251e-02-1.677812405464387179e-08j),  (4.513974006878584966e-02+1.275531028442670440e-07j),  (4.246614975469576586e-02+2.272183840328604167e-09j),  (4.211557178538196528e-02+1.424566992927081297e-08j),  (4.005386556503145318e-02+1.635778660157010272e-08j)
 (3.205433408439788828e-02+1.603607292830561486e-08j),  (3.198382215754103780e-02-3.808239280399564892e-08j),  (3.494390709032901138e-02-5.412558071570578558e-08j),  (3.304410628514756892e-02+1.006642024243546645e-07j),  (3.340889110934616019e-02+1.288168543385073283e-07j),  (3.351197744778866561e-02-1.598619950520898867e-08j),  (3.205433408439788828e-02+1.603607292830561486e-08j)
 (1.267252789710383333e-02+1.461695357863021195e-08j),  (1.316104152123460935e-02+7.464339149185250207e-08j),  (0.000000000000000000e+00+0.000000000000000000e+00j),  (1.327786486807450497e-02-1.787112833736221754e-08j),  (1.341643195056139819e-02+2.563358287579166353e-08j),  (-0.000000000000000000e+00+0.000000000000000000e+00j),  (1.267252789710383333e-02+1.461695357863021195e-08j)
 (-5.055766045981161319e-04+4.371144138990284304e-08j),  (-2.852005932894923976e-04+7.382129986262766664e-08j),  (-1.322145735764431937e-02+3.365822056270250911e-08j),  (-4.535863387688267019e-04-1.855927513204718547e-07j),  (-6.310079894941404851e-05-2.389279261940766127e-07j),  (-1.338229131322798277e-02-1.115307341492387275e-08j),  (-5.055766045981161319e-04+4.371144138990284304e-08j)
 (-2.584292341288404841e-03-7.998243798146638487e-08j),  (-2.436782868309781899e-03+1.009953492396189975e-07j),  (-5.329061162314032395e-03+1.108078920982584761e-08j),  (-2.531482536314689103e-03-2.612071994090293596e-09j),  (-2.454324989041721701e-03-1.911092297600631820e-07j),  (-5.282797819597470287e-03-1.374116519922026330e-07j),  (-2.584292341288404841e-03-7.998243798146638487e-08j)
 (-2.809391852052981614e-03-2.061352514364179731e-07j),  (-2.785441876762029343e-03-1.070647254637271802e-08j),  (-3.413225051067429131e-03+8.044391853677851241e-08j),  (-2.821663693777073847e-03-1.345173134423183121e-07j),  (-2.779965511716471840e-03-1.856962294796137262e-07j),  (-3.468670096331944678e-03-1.922603814153637829e-08j),  (-2.809391852052981614e-03-2.061352514364179731e-07j)
 (-2.576943535354979473e-03-2.178887793922594678e-07j),  (-2.547666734002754490e-03-2.210632339054475658e-07j),  (-2.712781471421788805e-03-8.972794134149539366e-08j),  (-2.550967305474449460e-03-5.410485613348413475e-08j),  (-2.565388892995913803e-03-1.949245633646423995e-07j),  (-2.710560458512304826e-03-1.552679484764330647e-07j),  (-2.576943535354979473e-03-2.178887793922594678e-07j)
 (-2.174086805994423967e-03-2.807235826493013233e-07j),  (-2.178909699034726512e-03-1.821834053501912907e-07j),  (-2.192782176098381861e-03-1.748751996562714030e-07j),  (-2.175280625745253712e-03-1.860002082059283321e-07j),  (-2.166938123980275462e-03-1.984560420358233863e-07j),  (-2.206820875585462603e-03-1.506920358236359963e-07j),  (-2.174086805994423967e-03-2.807235826493013233e-07j)
 (-1.981548193760839915e-03-1.901799545096266817e-07j),  (-1.970963528474234915e-03-2.291785181132292622e-07j),  (-1.988536664695100559e-03-1.775935037010214796e-07j),  (-1.967770650694104263e-03-1.859595599553724786e-07j),  (-1.976520478998127026e-03-1.823286556856237883e-07j),  (-1.980879589830113197e-03-2.174182139389204050e-07j),  (-1.981548193760839915e-03-1.901799545096266817e-07j)
