r1 r2 correlator
"(-1, 0)" "(-3, -2)" 0.05118707321519406
"(-1, 0)" "(3, 2)" 0.05825970573489558
"(0, 1)" "(-2, -1)" 0.05953708940884244
"(0, 1)" "(-2, -3)" 0.05820842603018272
"(0, 1)" "(-1, -2)" 0.06793600013440207
"(0, 1)" "(-1, 0)" 0.021281711405650543
"(0, 1)" "(1, 0)" -0.17762351807492732
"(0, 1)" "(1, 2)" 0.018157662564755064
"(0, 1)" "(2, 3)" 0.05928838345561963
"(0, 1)" "(-3, -2)" 0.0486422322139481
"(0, 1)" "(3, 2)" 0.06818183674904774
"(1, 2)" "(-2, -1)" 0.06047720857993255
"(1, 2)" "(-2, -3)" 0.05615149288327982
"(1, 2)" "(-1, -2)" 0.05850734412178817
"(1, 2)" "(-1, 0)" 0.04159765439131739
"(1, 2)" "(0, -1)" 0.03243880947563017
"(1, 2)" "(0, 1)" 0.03705840453121743
"(1, 2)" "(2, 1)" 0.0159604617431546
"(1, 2)" "(2, 3)" 0.04868019317514394
"(1, 2)" "(-3, -2)" 0.05184935241481761
"(1, 2)" "(3, 2)" 0.05523994375988441
"(2, 3)" "(-2, -1)" 0.06691042703158223
"(2, 3)" "(-2, -3)" 0.06588889497749466
"(2, 3)" "(-1, -2)" 0.0674388284192383
"(2, 3)" "(-1, 0)" 0.06406818614942252
"(2, 3)" "(0, -1)" 0.06463754817083994
"(2, 3)" "(0, 1)" 0.06793442438854419
"(2, 3)" "(1, 0)" 0.07048703350119147
"(2, 3)" "(1, 2)" 0.06530669796393726
"(2, 3)" "(2, 1)" 0.06354011457074799
"(2, 3)" "(2, 3)" 0.06962957279408415
"(2, 3)" "(-3, -2)" 0.06590205078920776
"(2, 3)" "(3, 2)" 0.06845313479762011
