lambdas (FH),spin_spin_correlations_FH,lambdas (tJ),spin_spin_correlations_tJ
0.0,(-0.0020899600301170925-2.9316203502234152e-18j),0.0,(-0.0021586831132822766-0j)
0.2,(-0.0014371349308658894-1.7301025787456194e-18j),0.2,(-0.0016618178065750582-0j)
0.4,(-0.0009164956132799737+1.4499570169790504e-18j),0.4,(-0.0010885523523027968-0j)
0.6,(-0.00048106764998294557+5.023402601965173e-19j),0.6,(-0.0004337891471456864-0j)
0.8,(0.00029499923871014345-4.803136435029545e-19j),0.8,(0.0003416967282539638-0j)
0.9,(0.0008200576399912719-3.79724490440488e-20j),1.0,(0.0013154658772841512-0j)
