lambdas weights_tightly_bound_tJ weights_stripe_tJ
0.0 0.3423575255761022 0.11935563789527827
0.2 0.35875022266460665 0.11666209717212868
0.4 0.3772799496208475 0.11321633307622604
0.6 0.3983459216835242 0.10872427321456993
0.8 0.4227336807566198 0.10290327028939131
1.0 0.4492670285337127 0.09479916092050998
