 (6.057853508308244650e-02+3.469560538379879076e-10j),  (6.290949164408736471e-02+1.566593081350413228e-09j),  (1.278234498087414683e-01+9.536919804842593780e-09j),  (2.496980004339124093e-01+3.839188116993338841e-09j),  (1.279097034845698422e-01-9.863241349411269468e-10j),  (6.291567641429979263e-02-1.037700062713310300e-09j),  (6.057853508308244650e-02+3.469560538379879076e-10j)
 (5.250228245569359825e-02-6.010005256216269486e-09j),  (5.907425910137172748e-02+5.705568654218291658e-10j),  (7.045629268939106182e-02+4.284023288120729848e-09j),  (1.236200944015279635e-01+8.213096761684161794e-09j),  (7.048962354034471467e-02-2.828750264745421952e-09j),  (5.909807870799101831e-02-6.138113957749961070e-09j),  (5.250228245569359825e-02-6.010005256216269486e-09j)
 (4.889009836943271348e-02+3.093033304363901167e-09j),  (4.909486045305901103e-02+8.361681205339196070e-09j),  (5.620944025266266797e-02-6.783188076756659716e-09j),  (5.849756606808144410e-02-1.340603900828770356e-09j),  (5.628051888737436309e-02-1.176428489450143118e-08j),  (4.911728758843601078e-02-8.636457860196301286e-09j),  (4.889009836943271348e-02+3.093033304363901167e-09j)
 (4.078729576846215621e-02+6.253009540118849846e-09j),  (4.205378325046735949e-02-1.502778670093444035e-09j),  (4.267943891596434614e-02+2.245251707404948141e-09j),  (4.502533952224149760e-02+2.599884373100941451e-08j),  (4.263442016364891313e-02-4.061902717693133399e-09j),  (4.224274225536711613e-02-4.263073604038768394e-08j),  (4.078729576846215621e-02+6.253009540118849846e-09j)
 (3.499129516403050311e-02-2.552484970991557811e-08j),  (3.458798800490866382e-02-2.515103162163849376e-08j),  (3.667152503193615160e-02+1.986682681328771640e-08j),  (3.800695447224292089e-02+2.596189633232928834e-08j),  (3.667505239553064955e-02-5.799819331170187731e-08j),  (3.494302994745897284e-02-2.957783762887658707e-08j),  (3.499129516403050311e-02-2.552484970991557811e-08j)
 (2.528081092164700602e-02-1.056828479635169066e-08j),  (2.285597966174869600e-02+1.136932266779922300e-08j),  (1.866324054431980559e-02-7.330275550901218355e-08j),  (-0.000000000000000000e+00+0.000000000000000000e+00j),  (1.430355765207529453e-02-3.838309648939368469e-08j),  (2.426763150057277552e-02-1.404601609587329024e-07j),  (2.528081092164700602e-02-1.056828479635169066e-08j)
 (1.785672139641067066e-02-4.065534728569741420e-08j),  (1.499284647223004911e-02+2.246985846529405080e-08j),  (1.213548809083779892e-02-2.016028740994743466e-08j),  (-1.521943368913298254e-02+1.823374305870027709e-08j),  (-0.000000000000000000e+00+0.000000000000000000e+00j),  (1.894899262332393197e-02-5.535129176956498869e-08j),  (1.785672139641067066e-02-4.065534728569741420e-08j)
 (9.726695660657916007e-03+2.211402279293259136e-08j),  (9.434362476203729184e-03+1.095493886140921354e-08j),  (7.266722335272711268e-03+3.228759068298450228e-08j),  (-1.137791823345128163e-03+6.621677766476266861e-08j),  (-8.784572425517912829e-04+8.525253444679945669e-09j),  (9.317838061588010895e-03-2.628837811799310728e-08j),  (9.726695660657916007e-03+2.211402279293259136e-08j)
 (6.795922003188397710e-03+3.885478479463618742e-08j),  (6.412872771256251589e-03+9.308458558913319228e-08j),  (5.322673151104098839e-03-5.641082022285065956e-08j),  (2.333443803192154862e-03-4.897748406480505268e-08j),  (2.913401066958969977e-03+5.699819319770788315e-08j),  (6.066903462479884476e-03+5.497223419297871499e-08j),  (6.795922003188397710e-03+3.885478479463618742e-08j)
 (4.919342140245580065e-03+3.796554404335220257e-08j),  (4.868833486131890313e-03+9.647938438564428377e-08j),  (4.299812195201278830e-03+5.394814053093787958e-08j),  (3.485540811647623756e-03+2.856475809424200436e-08j),  (3.576527460097955746e-03+4.839721632497278882e-09j),  (4.606661550721488987e-03+9.641806835821139015e-08j),  (4.919342140245580065e-03+3.796554404335220257e-08j)
 (3.830668430879567016e-03+1.570928745831583436e-07j),  (3.762234825524042939e-03+8.027316120133779456e-08j),  (3.582884883620839848e-03+1.238093012954262459e-07j),  (3.300723231490443766e-03+3.200398402391422969e-08j),  (3.377951517277255882e-03+1.273832911801671306e-07j),  (3.642594578185980730e-03+9.977606022966918407e-08j),  (3.830668430879567016e-03+1.570928745831583436e-07j)
 (3.332727782157146514e-03+1.032077998545214520e-07j),  (3.344516339583227926e-03+1.721449571486022560e-07j),  (3.221434311877474383e-03+8.529933428557662442e-08j),  (3.143033977543188261e-03+1.561219973637592412e-07j),  (3.132527287943994571e-03+9.191409032271453086e-08j),  (3.284927664866084049e-03+1.697265629421719735e-07j),  (3.332727782157146514e-03+1.032077998545214520e-07j)
