lambdas (FH),binding_energies_FH,lambdas (tJ),binding_energies_tJ
0.0,-0.10361256965691013,0.0,-0.22208584087263006
0.2,-0.14636929660460396,0.2,-0.22494892010514178
0.4,-0.18732023039340362,0.4,-0.2274939112550456
0.6,-0.21315625341056688,0.6,-0.2299005828519114
0.8,-0.23601864635287484,0.8,-0.23213149093658814
0.9,-0.23340130521373226,1.0,-0.2333565565587037
